Epoch:9/10 || Epochiter: 61/403 || Iter: 3285/4030 || Loc: 1.1277 Cla: 1.6484 Landm: 3.6836 || LR: 0.00100000 || Batchtime: 0.8856 s || ETA: 0:11:00
Epoch:9/10 || Epochiter: 62/403 || Iter: 3286/4030 || Loc: 1.1629 Cla: 1.6171 Landm: 4.3619 || LR: 0.00100000 || Batchtime: 1.0332 s || ETA: 0:12:49
Epoch:9/10 || Epochiter: 63/403 || Iter: 3287/4030 || Loc: 1.1955 Cla: 1.7575 Landm: 3.1456 || LR: 0.00100000 || Batchtime: 1.1220 s || ETA: 0:13:54
Epoch:9/10 || Epochiter: 64/403 || Iter: 3288/4030 || Loc: 1.5568 Cla: 2.1544 Landm: 5.8223 || LR: 0.00100000 || Batchtime: 0.9704 s || ETA: 0:12:01
Epoch:9/10 || Epochiter: 65/403 || Iter: 3289/4030 || Loc: 1.3416 Cla: 1.8271 Landm: 3.0446 || LR: 0.00100000 || Batchtime: 1.1599 s || ETA: 0:14:20
Epoch:9/10 || Epochiter: 66/403 || Iter: 3290/4030 || Loc: 1.0044 Cla: 1.5930 Landm: 3.4139 || LR: 0.00100000 || Batchtime: 0.9465 s || ETA: 0:11:41
Epoch:9/10 || Epochiter: 67/403 || Iter: 3291/4030 || Loc: 1.3728 Cla: 1.9718 Landm: 4.0617 || LR: 0.00100000 || Batchtime: 1.0622 s || ETA: 0:13:05
Epoch:9/10 || Epochiter: 68/403 || Iter: 3292/4030 || Loc: 1.2772 Cla: 1.8903 Landm: 4.3059 || LR: 0.00100000 || Batchtime: 0.9684 s || ETA: 0:11:55
Epoch:9/10 || Epochiter: 69/403 || Iter: 3293/4030 || Loc: 1.0575 Cla: 1.6101 Landm: 2.5649 || LR: 0.00100000 || Batchtime: 1.0312 s || ETA: 0:12:41
Epoch:9/10 || Epochiter: 70/403 || Iter: 3294/4030 || Loc: 1.1376 Cla: 1.4502 Landm: 3.0971 || LR: 0.00100000 || Batchtime: 1.1300 s || ETA: 0:13:52
Epoch:9/10 || Epochiter: 71/403 || Iter: 3295/4030 || Loc: 0.9830 Cla: 1.5019 Landm: 4.2342 || LR: 0.00100000 || Batchtime: 1.2497 s || ETA: 0:15:19
Epoch:9/10 || Epochiter: 72/403 || Iter: 3296/4030 || Loc: 1.2906 Cla: 1.8774 Landm: 4.0877 || LR: 0.00100000 || Batchtime: 1.1040 s || ETA: 0:13:31
Epoch:9/10 || Epochiter: 73/403 || Iter: 3297/4030 || Loc: 1.3766 Cla: 1.7508 Landm: 3.7047 || LR: 0.00100000 || Batchtime: 0.9505 s || ETA: 0:11:37
Epoch:9/10 || Epochiter: 74/403 || Iter: 3298/4030 || Loc: 1.0042 Cla: 1.4867 Landm: 2.7414 || LR: 0.00100000 || Batchtime: 1.1210 s || ETA: 0:13:41
Epoch:9/10 || Epochiter: 75/403 || Iter: 3299/4030 || Loc: 0.9754 Cla: 1.4035 Landm: 2.6834 || LR: 0.00100000 || Batchtime: 1.1958 s || ETA: 0:14:35
Epoch:9/10 || Epochiter: 76/403 || Iter: 3300/4030 || Loc: 1.2038 Cla: 1.7300 Landm: 3.8578 || LR: 0.00100000 || Batchtime: 1.0292 s || ETA: 0:12:32
Epoch:9/10 || Epochiter: 77/403 || Iter: 3301/4030 || Loc: 1.4763 Cla: 2.0406 Landm: 4.0116 || LR: 0.00100000 || Batchtime: 1.0093 s || ETA: 0:12:16
Epoch:9/10 || Epochiter: 78/403 || Iter: 3302/4030 || Loc: 1.0449 Cla: 1.7236 Landm: 3.7360 || LR: 0.00100000 || Batchtime: 1.0652 s || ETA: 0:12:56
Epoch:9/10 || Epochiter: 79/403 || Iter: 3303/4030 || Loc: 1.3615 Cla: 1.7349 Landm: 3.1860 || LR: 0.00100000 || Batchtime: 0.9814 s || ETA: 0:11:54
Epoch:9/10 || Epochiter: 80/403 || Iter: 3304/4030 || Loc: 1.1793 Cla: 1.7890 Landm: 4.6754 || LR: 0.00100000 || Batchtime: 1.1390 s || ETA: 0:13:48
Epoch:9/10 || Epochiter: 81/403 || Iter: 3305/4030 || Loc: 1.1075 Cla: 1.5926 Landm: 3.1050 || LR: 0.00100000 || Batchtime: 0.9884 s || ETA: 0:11:57
Epoch:9/10 || Epochiter: 82/403 || Iter: 3306/4030 || Loc: 0.9775 Cla: 1.4629 Landm: 2.7508 || LR: 0.00100000 || Batchtime: 1.0911 s || ETA: 0:13:11
Epoch:9/10 || Epochiter: 83/403 || Iter: 3307/4030 || Loc: 1.3421 Cla: 1.8235 Landm: 4.0429 || LR: 0.00100000 || Batchtime: 1.0841 s || ETA: 0:13:04
Epoch:9/10 || Epochiter: 84/403 || Iter: 3308/4030 || Loc: 1.1363 Cla: 1.8131 Landm: 4.6029 || LR: 0.00100000 || Batchtime: 0.9884 s || ETA: 0:11:54
Epoch:9/10 || Epochiter: 85/403 || Iter: 3309/4030 || Loc: 1.3109 Cla: 1.8917 Landm: 3.9504 || LR: 0.00100000 || Batchtime: 1.0762 s || ETA: 0:12:56
Epoch:9/10 || Epochiter: 86/403 || Iter: 3310/4030 || Loc: 1.2643 Cla: 1.6458 Landm: 2.8531 || LR: 0.00100000 || Batchtime: 1.1410 s || ETA: 0:13:42
Epoch:9/10 || Epochiter: 87/403 || Iter: 3311/4030 || Loc: 1.0272 Cla: 1.6042 Landm: 2.7533 || LR: 0.00100000 || Batchtime: 1.0133 s || ETA: 0:12:09
